n_sets	agreement_raw	agreement_after_removing_size	pct_of_agreement_that_is_size	reading	what_this_is_not	mapping	cohort_a	cohort_b
409	0.9617	0.9692	-0.8	-1% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2018a	ZellerG_2014
405	0.9592	0.9701	-1.1	-1% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2018b	ThomasAM_2019_c
402	0.9481	0.9668	-2.0	-2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2018b	VogtmannE_2016
408	0.9583	0.957	0.1	0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2018b	YuJ_2015
408	0.9425	0.983	-4.3	-4% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2018b	ZellerG_2014
411	0.9566	0.9675	-1.1	-1% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2019_c	VogtmannE_2016
424	0.98	0.9771	0.3	0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2019_c	YuJ_2015
423	0.9582	0.9741	-1.7	-2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2019_c	ZellerG_2014
415	0.9572	0.9676	-1.1	-1% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	VogtmannE_2016	YuJ_2015
413	0.9585	0.9697	-1.2	-1% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	VogtmannE_2016	ZellerG_2014
436	0.9558	0.9715	-1.6	-2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	YuJ_2015	ZellerG_2014
345	0.9841	0.9838	0.0	0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	FengQ_2015	ThomasAM_2018a
342	0.9816	0.9828	-0.1	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	FengQ_2015	ThomasAM_2018b
352	0.987	0.9873	-0.0	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	FengQ_2015	ThomasAM_2019_c
348	0.9829	0.9845	-0.2	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	FengQ_2015	VogtmannE_2016
358	0.9869	0.9864	0.1	0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	FengQ_2015	YuJ_2015
349	0.9854	0.9871	-0.2	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	FengQ_2015	ZellerG_2014
335	0.9751	0.9759	-0.1	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2018a	ThomasAM_2018b
346	0.9894	0.99	-0.1	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2018a	ThomasAM_2019_c
342	0.9824	0.9847	-0.2	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2018a	VogtmannE_2016
346	0.989	0.9895	-0.1	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2018a	YuJ_2015
336	0.9805	0.9815	-0.1	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2018a	ZellerG_2014
342	0.9781	0.9786	-0.0	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2018b	ThomasAM_2019_c
337	0.9789	0.9795	-0.1	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2018b	VogtmannE_2016
340	0.9725	0.9723	0.0	0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2018b	YuJ_2015
336	0.9828	0.9855	-0.3	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2018b	ZellerG_2014
347	0.9858	0.9869	-0.1	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2019_c	VogtmannE_2016
352	0.9923	0.9922	0.0	0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2019_c	YuJ_2015
342	0.9762	0.9789	-0.3	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	ThomasAM_2019_c	ZellerG_2014
349	0.9833	0.9843	-0.1	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	VogtmannE_2016	YuJ_2015
341	0.979	0.9818	-0.3	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	VogtmannE_2016	ZellerG_2014
342	0.9751	0.9767	-0.2	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	B_species_breadth	YuJ_2015	ZellerG_2014
284				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	FengQ_2015	ThomasAM_2018a
277				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	FengQ_2015	ThomasAM_2018b
283				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	FengQ_2015	ThomasAM_2019_c
278				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	FengQ_2015	VogtmannE_2016
287	0.8733	0.8568	1.9	2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	FengQ_2015	YuJ_2015
284	0.8689	0.8783	-1.1	-1% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	FengQ_2015	ZellerG_2014
273				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2018a	ThomasAM_2018b
286				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2018a	ThomasAM_2019_c
277				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2018a	VogtmannE_2016
291				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2018a	YuJ_2015
282				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2018a	ZellerG_2014
276				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2018b	ThomasAM_2019_c
276				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2018b	VogtmannE_2016
277				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2018b	YuJ_2015
280				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2018b	ZellerG_2014
279				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2019_c	VogtmannE_2016
288				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2019_c	YuJ_2015
284				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	ThomasAM_2019_c	ZellerG_2014
280				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	VogtmannE_2016	YuJ_2015
282				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	VogtmannE_2016	ZellerG_2014
286	0.8736	0.8596	1.6	2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	C_diffabund	YuJ_2015	ZellerG_2014
